timestamp,relative_time_sec,experiment_id,run_id,scenario,label,service,pod,namespace,node,cpu_usage,memory_usage_mb,restart_count,request_rate,error_rate,avg_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,throughput,http_2xx_rate,http_4xx_rate,http_5xx_rate,network_receive_bytes,network_transmit_bytes,fault_type,fault_service,fault_start_time,fault_end_time,fault_phase,anomaly_score,prediction
2026-06-09 14:00:00,0,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4407,50.5137,0,345.2936,0.001536,1.6893,1.2391,2.5408,3.3164,4.506,344.9754,344.7633,0.4708,0.0595,374160.3349,292771.9771,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.35541216,0
2026-06-09 14:00:05,5,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4633,50.8199,0,350.3408,0.000722,1.1119,0.7908,1.6719,1.9721,2.7565,350.1906,350.0879,0.2302,0.0227,337406.2769,264366.3684,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.059435565,0
2026-06-09 14:00:10,10,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.465,50.2373,0,345.5139,0.001144,1.3557,1.0851,2.273,2.7548,3.7285,345.3291,345.1186,0.3734,0.022,294602.4078,355135.7607,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.085250124,0
2026-06-09 14:00:15,15,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4515,50.3218,0,332.5484,0.000848,1.1906,0.9628,1.9949,2.3851,3.0561,332.4223,332.2665,0.2567,0.0252,288685.3935,264145.1446,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.0805922,0
2026-06-09 14:00:20,20,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4699,50.9187,0,356.6497,0.000831,0.986,0.7355,1.4364,2.0127,2.5596,356.4543,356.3534,0.1949,0.1013,331232.4931,246143.4596,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.10747914,0
2026-06-09 14:00:25,25,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4789,50.7379,0,352.0853,0.001189,0.9604,0.7219,1.4556,1.7103,2.5971,351.8476,351.6668,0.3735,0.045,336153.5192,338019.0792,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.1522561,0
2026-06-09 14:00:30,30,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4619,50.518,0,341.4982,0.000987,1.2968,0.9783,2.1701,2.6139,3.5928,341.2964,341.1613,0.2853,0.0517,355576.922,271861.4057,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.040648054,0
2026-06-09 14:00:35,35,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4509,49.2514,0,357.6684,0.000598,0.7434,0.5464,1.2506,1.4035,1.9564,357.5534,357.4545,0.1417,0.0723,323225.0479,265203.5016,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,1.0172107,1
2026-06-09 14:00:40,40,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4605,50.8281,0,342.5636,0.001224,0.7069,0.5027,1.1333,1.2666,1.988,342.3349,342.1444,0.3669,0.0523,386802.4373,244218.4228,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.4704914,0
2026-06-09 14:00:45,45,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.466,50.0483,0,344.3455,0.001182,0.9013,0.686,1.4821,1.7715,2.5585,344.0621,343.9385,0.3884,0.0187,415268.1092,247917.2718,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.0841716,0
2026-06-09 14:00:50,50,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4459,49.4693,0,338.5373,0.001327,1.0198,0.8091,1.5285,1.8592,2.5357,338.2268,338.0882,0.372,0.0772,278582.9125,264761.5032,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.35174853,0
2026-06-09 14:00:55,55,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4932,50.5688,0,351.755,0.000921,1.0943,0.8661,1.8463,2.2036,2.9984,351.5416,351.4311,0.2761,0.0478,395504.6186,239916.5752,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.047232646,0
2026-06-09 14:01:00,60,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4603,49.7558,0,363.2333,0.001636,1.1004,0.8262,1.7755,1.9331,2.8151,362.8219,362.6392,0.5371,0.057,374760.2171,252758.801,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.2423118,0
2026-06-09 14:01:05,65,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.5003,49.6253,0,349.7595,0.001053,1.0643,0.8143,1.7107,2.0539,2.8141,349.5172,349.3911,0.3118,0.0566,344310.9327,357351.1331,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.15695295,0
2026-06-09 14:01:10,70,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4879,49.8489,0,363.8197,0.001427,1.1667,0.8283,1.8798,2.3305,2.8182,363.6331,363.3006,0.4037,0.1154,405710.8322,325570.2832,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.042704247,0
2026-06-09 14:01:15,75,EXP_FAULT_01,RUN_01,pod_kill,1,inventory-service,inventory-service-f01-13,online-boutique,node-b,0.4882,50.7636,0,360.1447,0.001896,0.9459,0.6975,1.3793,1.9106,2.6841,359.8518,359.4618,0.5643,0.1186,347194.2122,352453.4211,pod_kill,coupon-service,2026-06-09 14:05:00,2026-06-09 14:20:00,pre_fault,0.8301083,0
