service,total_samples,anomaly_count,anomaly_ratio
adservice,1800,994,0.5522222222222222
cartservice,1800,1202,0.6677777777777778
checkoutservice,1800,1408,0.7822222222222223
coupon-service,1800,370,0.20555555555555555
currencyservice,1800,1210,0.6722222222222223
emailservice,1800,1244,0.6911111111111111
frontend,1800,1427,0.7927777777777778
inventory-service,1800,854,0.47444444444444445
loadgenerator,1800,1063,0.5905555555555555
paymentservice,1800,942,0.5233333333333333
productcatalogservice,1800,1397,0.7761111111111111
recommendationservice,1800,1207,0.6705555555555556
redis-cart,1800,685,0.38055555555555554
shippingservice,1800,1212,0.6733333333333333
