metric,count,mean,std,min,p5,p25,median,p75,p95,max,dataset
cpu_usage,25200.0,0.40402807936507934,0.20145133722449235,0.1411,0.1623,0.271,0.36924999999999997,0.464525,0.8035,1.8823,fault
memory_usage_mb,25200.0,42.08736061111111,17.88487652808244,18.3699,19.407584999999997,27.249174999999997,41.8864,50.692025,83.098365,87.0914,fault
restart_count,25200.0,0.007301587301587302,0.08606566227945067,0.0,0.0,0.0,0.0,0.0,0.0,2.0,fault
request_rate,25200.0,216.44382205555556,130.60813063971514,54.0531,68.68427,109.3941,180.5589,304.506775,475.3198,591.3357,fault
error_rate,25200.0,0.0037022859523809532,0.008343698274775352,0.000258,0.00074795,0.001411,0.002094,0.003023,0.005813,0.091733,fault
avg_latency_ms,25200.0,28.583725226190474,28.70511718037532,0.3897,1.220995,4.9876,18.28465,46.37055,82.35852,154.5183,fault
p50_latency_ms,25200.0,19.044074722222224,18.104749206286986,0.3032,0.8852,3.6500500000000002,12.0283,32.5574,53.133735,74.6039,fault
p90_latency_ms,25200.0,51.933807853174606,55.03899342582153,0.6289,2.095465,8.3706,31.422400000000003,82.783125,158.09209,367.3976,fault
p95_latency_ms,25200.0,71.86046227380953,81.38083046497994,0.7747,2.6991899999999998,10.738574999999999,41.440799999999996,110.98712499999999,225.21492999999995,608.6464,fault
p99_latency_ms,25200.0,114.78518761904762,141.4376182745943,0.9945,3.9569449999999997,15.588750000000001,62.3001,167.9754,373.135295,1185.5445,fault
throughput,25200.0,208.32644686904763,125.69461871674362,50.709,66.51868,104.982275,171.79950000000002,294.123925,462.45855499999993,574.8412,fault
http_2xx_rate,25200.0,215.5471961746032,129.95455955127665,53.9962,68.51148500000001,109.03309999999999,179.86935,303.43745,473.77119,589.1952,fault
http_4xx_rate,25200.0,0.22295768650793651,0.18139493846900914,0.0154,0.0419,0.0933,0.161,0.3004,0.6083049999999999,1.5443,fault
http_5xx_rate,25200.0,0.673667988095238,2.341577189138466,0.0,0.0084,0.050475000000000006,0.16465000000000002,0.3868,1.3067899999999986,20.3728,fault
network_receive_bytes,25200.0,230858.0935291309,144700.47258383187,46192.5565,72550.79821,112667.865225,182086.74015,326163.03405,525442.5587549999,741561.0921,fault
network_transmit_bytes,25200.0,185731.70859730156,116747.98870084222,37701.9897,58265.32514,90777.00395,146275.389,260654.154725,425240.65445499995,588973.5709,fault
