metric,count,mean,std,min,p5,p25,median,p75,p95,max,dataset
cpu_usage,25200.0,0.38559919841269835,0.14928857339697157,0.1431,0.1631,0.2725,0.3706,0.4609,0.7667,0.872,normal
memory_usage_mb,25200.0,41.729543190476186,17.801856360844745,18.4254,19.29989,27.2368,39.2913,50.5372,83.17922,87.3663,normal
restart_count,25200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
request_rate,25200.0,223.9845738293651,135.35190511987153,54.7963,70.26989999999999,112.69665,183.4491,318.23605,495.4006849999999,583.2585,normal
error_rate,25200.0,0.0010989482142857142,0.000403554008760183,0.000258,0.000469,0.000756,0.001099,0.001435,0.001734,0.001939,normal
avg_latency_ms,25200.0,21.948736932539685,20.922053099788968,0.25,1.0623850000000001,4.47305,13.37155,37.9507,62.418715,77.4747,normal
p50_latency_ms,25200.0,16.674358591269844,15.931824790760569,0.1763,0.80298,3.3719,10.0674,28.867849999999997,47.1153,60.0829,normal
p90_latency_ms,25200.0,34.5671343968254,33.019282133157915,0.4176,1.658775,7.000675,20.78915,59.655675,97.131095,121.1023,normal
p95_latency_ms,25200.0,41.707173408730156,39.8361007929572,0.4473,2.006065,8.42205,25.052750000000003,72.124525,117.36826,146.0638,normal
p99_latency_ms,25200.0,57.01942894444444,54.54600028414077,0.7065,2.732045,11.51135,34.27195,98.728425,159.59748499999998,208.8899,normal
throughput,25200.0,223.84885667857142,135.26947876495876,54.738,70.215805,112.641425,183.3186,317.987475,495.2315,583.0224,normal
http_2xx_rate,25200.0,223.7384547261905,135.2030053293804,54.7185,70.180065,112.59315,183.19889999999998,317.8793,494.8998399999999,582.8692,normal
http_4xx_rate,25200.0,0.2064551547619047,0.16107472269705161,0.0154,0.0405,0.0896,0.15234999999999999,0.281,0.5465149999999998,0.9132,normal
http_5xx_rate,25200.0,0.03966436111111111,0.035722679111142394,0.0,0.0028,0.0139,0.0281,0.0551,0.1156,0.1952,normal
network_receive_bytes,25200.0,235074.93635330556,146283.87009358426,46500.4163,74713.817825,115640.47682499999,186751.28015,330318.047925,535103.837005,730435.293,normal
network_transmit_bytes,25200.0,189115.78113550795,117833.52585374312,37692.1588,59873.062255000004,92853.8714,150108.67810000002,267296.78875,429883.24168999994,582978.0125,normal
